time,event,details
Tue Apr  2 19:53:40 2019,typed,bastard
Tue Apr  2 19:53:40 2019,typed,beaver
Tue Apr  2 19:53:40 2019,typed,beaver
Tue Apr  2 19:53:40 2019,typed,fuck
Tue Apr  2 19:53:40 2019,typed,fuck
Tue Apr  2 21:19:14 2019,typed,fuck
Tue Apr  2 21:20:36 2019,typed,kmsl
Wed Apr  3 15:43:49 2019,read,fuck
Wed Apr  3 16:01:33 2019,read,fuck
Wed Apr  3 16:14:36 2019,typed,fuck
Wed Apr  3 16:14:42 2019,typed,ass
Wed Apr  3 16:14:44 2019,typed,ass
Wed Apr  3 16:14:46 2019,typed,fuck
Wed Apr  3 16:14:55 2019,typed,shit
Wed Apr  3 16:18:23 2019,saw,dog
Wed Apr  3 16:18:44 2019,saw,dog
Wed Apr  3 16:18:44 2019,typed,fuck
Wed Apr  3 16:18:51 2019,saw,dog
Wed Apr  3 16:18:52 2019,typed,ass
Wed Apr  3 16:18:59 2019,read,fuck
Wed Apr  3 16:19:00 2019,saw,dog
Wed Apr  3 16:19:19 2019,typed,anal
Wed Apr  3 16:19:31 2019,read,ass
Wed Apr  3 16:19:31 2019,read,anal
Wed Apr  3 16:19:39 2019,read,fuck
Wed Apr  3 16:19:39 2019,read,anal
Wed Apr  3 16:19:47 2019,read,ass
Wed Apr  3 16:19:47 2019,read,anal
Wed Apr  3 16:21:52 2019,saw,dog
Wed Apr  3 16:21:58 2019,saw,dog
Thu Apr  4 10:10:23 2019,typed,fuck
Thu Apr  4 10:10:31 2019,typed,ass
Thu Apr  4 10:10:31 2019,read,lmao
Thu Apr  4 10:10:31 2019,read,lmfao
Thu Apr  4 10:10:31 2019,read,smb
Thu Apr  4 10:10:46 2019,typed,ass
Thu Apr  4 10:10:47 2019,read,wtf
Thu Apr  4 10:10:47 2019,read,smb
Thu Apr  4 10:11:12 2019,typed,fuck
Thu Apr  4 10:14:01 2019,read,lmao
Thu Apr  4 10:14:01 2019,read,lmfao
Thu Apr  4 10:14:01 2019,read,smb
Thu Apr  4 10:14:12 2019,saw,dog
Mon Apr  8 12:20:26 2019,read,cunt
Wed Apr 10 22:01:13 2019,typed,fuck
Wed Apr 10 22:01:20 2019,typed,ass
Wed Apr 10 22:01:26 2019,typed,fuck
Wed Apr 10 22:01:33 2019,read,fuck
Wed Apr 10 22:01:34 2019,typed,fuck
Wed Apr 10 22:01:56 2019,typed,
Wed Apr 10 22:02:13 2019,read,fuck
Wed Apr 10 22:02:13 2019,read,fuck
Wed Apr 10 22:02:15 2019,typed,
Wed Apr 10 22:02:19 2019,typed,
Wed Apr 10 22:02:21 2019,typed,
Wed Apr 10 22:02:27 2019,read,ass
Wed Apr 10 22:02:27 2019,read,fuck
Wed Apr 10 22:02:27 2019,read,fuck
Wed Apr 10 22:02:28 2019,typed,
Wed Apr 10 22:07:06 2019,typed,fuck
Wed Apr 10 22:08:12 2019,read,erotic
Wed Apr 10 22:08:12 2019,read,escort
Wed Apr 10 22:08:12 2019,read,fag
Wed Apr 10 22:08:12 2019,read,faggot
Wed Apr 10 22:08:12 2019,read,flaps
Wed Apr 10 22:08:12 2019,read,gash
Wed Apr 10 22:08:12 2019,read,ginger
Wed Apr 10 22:08:12 2019,read,goddam
Wed Apr 10 22:08:12 2019,read,hardcore
